Close,Volume,return,volatility,symbol,date,sentiment
134.2899932861328,155659200,,,NVDA,2024-12-31,
138.30999755859375,198247200,0.0299352481453736,,NVDA,2025-01-02,
144.47000122070312,229322500,0.0445376601174456,,NVDA,2025-01-03,
149.42999267578125,265377400,0.0343323279100751,,NVDA,2025-01-06,
140.13999938964844,351782200,-0.0621695358460556,,NVDA,2025-01-07,
140.11000061035156,227349900,-0.0002140629329779,,NVDA,2025-01-08,
135.91000366210938,207602500,-0.0299764251655558,,NVDA,2025-01-10,
133.22999572753906,204808900,-0.0197189894956751,,NVDA,2025-01-13,
131.75999450683594,195590500,-0.0110335605182284,,NVDA,2025-01-14,
136.24000549316406,185217300,0.0340012991279814,,NVDA,2025-01-15,
133.57000732421875,209235600,-0.0195977544134735,0.0347576553761909,NVDA,2025-01-16,
137.7100067138672,201188800,0.0309949776344571,0.0348604971102488,NVDA,2025-01-17,
140.8300018310547,197749000,0.0226562701697503,0.0323593896981483,NVDA,2025-01-21,
147.07000732421875,237651400,0.0443087794648318,0.0337311765626784,NVDA,2025-01-22,
147.22000122070312,155915500,0.0010198809343477,0.0260611968139488,NVDA,2025-01-23,
142.6199951171875,234657600,-0.0312457958522875,0.0285152869223365,NVDA,2025-01-24,
118.41999816894533,818830900,-0.1696816559862985,0.0613349623188943,NVDA,2025-01-27,
128.99000549316406,579666400,0.0892586344169581,0.0689821126636128,NVDA,2025-01-28,
123.6999969482422,467120600,-0.0410109955782754,0.0701119841976766,NVDA,2025-01-29,
124.6500015258789,392925500,0.0076799078502338,0.0690152616436179,NVDA,2025-01-30,
120.06999969482422,388161100,-0.0367428943039669,0.06958569830229,NVDA,2025-01-31,
116.66000366210938,371235700,-0.0284000669724482,0.0683857372910206,NVDA,2025-02-03,
118.6500015258789,256550000,0.0170580987596511,0.0680725551550673,NVDA,2025-02-04,
124.83000183105467,262230800,0.0520859690324391,0.0688624329965855,NVDA,2025-02-05,
128.67999267578125,251483600,0.0308418712509286,0.0702174779160433,NVDA,2025-02-06,
129.83999633789062,228186300,0.0090146388571228,0.0700827405409188,NVDA,2025-02-07,
133.57000732421875,216989100,0.0287277502428549,0.0409263960259426,NVDA,2025-02-10,
132.8000030517578,178902400,-0.0057647992081926,0.0310559718455296,NVDA,2025-02-11,0.0610912
131.13999938964844,160278600,-0.0125000272888728,0.0276533268603129,NVDA,2025-02-12,0.0207345762711864
135.2899932861328,197430000,0.0316455232255548,0.0288101172093774,NVDA,2025-02-13,
138.85000610351562,195479600,0.0263139403803023,0.0243374947284453,NVDA,2025-02-14,0.0396878378378378
139.39999389648438,219176600,0.0039610210211926,0.0196375946250906,NVDA,2025-02-18,
