Date,Close,Volume,return,volatility,symbol
2024-12-31 22:30:00,134.2899932861328,155659200,,,NVDA
2025-01-02 22:30:00,138.30999755859375,198247200,0.029935248145373627,,NVDA
2025-01-03 22:30:00,144.47000122070312,229322500,0.04453766011744564,,NVDA
2025-01-06 22:30:00,149.42999267578125,265377400,0.03433232791007512,,NVDA
2025-01-07 22:30:00,140.13999938964844,351782200,-0.06216953584605567,,NVDA
2025-01-08 22:30:00,140.11000061035156,227349900,-0.0002140629329779875,,NVDA
2025-01-10 22:30:00,135.91000366210938,207602500,-0.029976425165555876,,NVDA
2025-01-13 22:30:00,133.22999572753906,204808900,-0.019718989495675188,,NVDA
2025-01-14 22:30:00,131.75999450683594,195590500,-0.011033560518228458,,NVDA
2025-01-15 22:30:00,136.24000549316406,185217300,0.034001299127981444,,NVDA
2025-01-16 22:30:00,133.57000732421875,209235600,-0.019597754413473556,0.03475765537619096,NVDA
2025-01-17 22:30:00,137.7100067138672,201188800,0.030994977634457133,0.0348604971102488,NVDA
2025-01-21 22:30:00,140.8300018310547,197749000,0.02265627016975036,0.032359389698148326,NVDA
2025-01-22 22:30:00,147.07000732421875,237651400,0.044308779464831805,0.033731176562678426,NVDA
2025-01-23 22:30:00,147.22000122070312,155915500,0.0010198809343477944,0.026061196813948893,NVDA
2025-01-24 22:30:00,142.6199951171875,234657600,-0.031245795852287594,0.028515286922336534,NVDA
2025-01-27 22:30:00,118.41999816894531,818830900,-0.16968165598629859,0.06133496231889436,NVDA
2025-01-28 22:30:00,128.99000549316406,579666400,0.08925863441695814,0.06898211266361283,NVDA
2025-01-29 22:30:00,123.69999694824219,467120600,-0.04101099557827548,0.07011198419767661,NVDA
2025-01-30 22:30:00,124.6500015258789,392925500,0.007679907850233869,0.0690152616436179,NVDA
2025-01-31 22:30:00,120.06999969482422,388161100,-0.03674289430396693,0.06958569830229006,NVDA
2025-02-03 22:30:00,116.66000366210938,371235700,-0.028400066972448235,0.06838573729102064,NVDA
2025-02-04 22:30:00,118.6500015258789,256550000,0.01705809875965114,0.06807255515506735,NVDA
2025-02-05 22:30:00,124.83000183105469,262230800,0.05208596903243912,0.06886243299658551,NVDA
2025-02-06 22:30:00,128.67999267578125,251483600,0.030841871250928632,0.07021747791604335,NVDA
2025-02-07 22:30:00,129.83999633789062,228186300,0.009014638857122836,0.07008274054091888,NVDA
2025-02-10 22:30:00,133.57000732421875,216989100,0.0287277502428549,0.04092639602594261,NVDA
2025-02-11 22:30:00,132.8000030517578,178902400,-0.005764799208192617,0.031055971845529686,NVDA
2025-02-12 22:30:00,131.13999938964844,160278600,-0.012500027288872895,0.02765332686031296,NVDA
2025-02-13 22:30:00,135.2899932861328,197430000,0.031645523225554806,0.028810117209377473,NVDA
2025-02-14 22:30:00,138.85000610351562,195479600,0.026313940380302325,0.024337494728445368,NVDA
2025-02-18 22:30:00,139.39999389648438,219176600,0.003961021021192668,0.019637594625090644,NVDA
2025-02-19 22:30:00,139.22999572753906,167536000,-0.0012194991132606914,0.020577415350772867,NVDA
2025-02-20 22:30:00,140.11000061035156,143903600,0.006320512172783399,0.016402407949770745,NVDA
2025-02-21 22:30:00,134.42999267578125,228217600,-0.04053963250179782,0.021805336200364463,NVDA
2025-02-24 22:30:00,130.27999877929688,251381100,-0.030871041602251292,0.024400704763907148,NVDA
2025-02-25 22:30:00,126.62999725341797,271428700,-0.028016591649361766,0.023723250282568206,NVDA
2025-02-26 22:30:00,131.27999877929688,322553800,0.03672116897051736,0.02714241633559771,NVDA
2025-02-27 22:30:00,120.1500015258789,443175800,-0.08478060143898469,0.038036722811478914,NVDA
2025-02-28 22:30:00,124.91999816894531,389091100,0.039700346088127114,0.03904263687827759,NVDA
2025-03-03 22:30:00,114.05999755859375,411381400,-0.08693564496906403,0.04429910263709195,NVDA
2025-03-04 22:30:00,115.98999786376953,398163300,0.01692092185241645,0.04521154399994814,NVDA
2025-03-05 22:30:00,117.30000305175781,284337900,0.01129412201151081,0.0458734793506222,NVDA
2025-03-06 22:30:00,110.56999969482422,321181900,-0.05737428117511667,0.046838888298899796,NVDA
2025-03-07 22:30:00,112.69000244140625,341755500,0.019173399226130927,0.048058126128853684,NVDA
2025-03-10 21:30:00,106.9800033569336,366487400,-0.05066997036797116,0.04911596866656149,NVDA
2025-03-11 21:30:00,108.76000213623047,354865700,0.01663861210919948,0.05016298838504661,NVDA
2025-03-12 21:30:00,115.73999786376953,323857500,0.06417796607613213,0.05385878656104718,NVDA
2025-03-13 21:30:00,115.58000183105469,299033100,-0.0013823745953681632,0.04724787834675715,NVDA
2025-03-14 21:30:00,121.66999816894531,277593500,0.052690744431657555,0.04870376827973388,NVDA
2025-03-17 21:30:00,119.52999877929688,255501500,-0.01758855446580132,0.03920554640134453,NVDA
2025-03-18 21:30:00,115.43000030517578,299686900,-0.03430099988281132,0.04084322289803692,NVDA
2025-03-19 21:30:00,117.5199966430664,273426200,0.018106179783115905,0.041103573321031595,NVDA
2025-03-20 21:30:00,118.52999877929688,248829700,0.008594300247455555,0.03563308096728262,NVDA
2025-03-21 21:30:00,117.69999694824219,266498500,-0.0070024621581255,0.0356452950687045,NVDA
2025-03-24 21:30:00,121.41000366210938,228452500,0.03152087349244903,0.030506955257290802,NVDA
2025-03-25 21:30:00,120.69000244140625,167447200,-0.005930328630142645,0.031049808268427875,NVDA
2025-03-26 21:30:00,113.76000213623047,293463300,-0.057419837310387245,0.03166575943846511,NVDA
2025-03-27 21:30:00,111.43000030517578,236902100,-0.020481731604263254,0.03224392234650696,NVDA
2025-03-28 21:30:00,109.66999816894531,229872500,-0.015794688426907566,0.025658954984056327,NVDA
2025-03-31 21:30:00,108.37999725341797,299212700,-0.011762568952906505,0.025534095661378226,NVDA
2025-04-01 21:30:00,110.1500015258789,222614000,0.016331466297440977,0.025074038181987657,NVDA
2025-04-02 21:30:00,110.41999816894531,220601200,0.002451172395153911,0.02397863343317329,NVDA
2025-04-03 21:30:00,101.80000305175781,338769400,-0.07806552490608354,0.032340206937281304,NVDA
2025-04-04 21:30:00,94.30999755859375,532273800,-0.07357569026158028,0.037100711773467625,NVDA
2025-04-07 21:30:00,97.63999938964844,611041300,0.03530910738265902,0.037713937406349096,NVDA
2025-04-08 21:30:00,96.30000305175781,476243400,-0.013723846233787307,0.03744996301653995,NVDA
2025-04-09 21:30:00,114.33000183105469,612918300,0.18722739572091607,0.07378566139648336,NVDA
2025-04-10 21:30:00,107.56999969482422,437812400,-0.05912710599112658,0.07611529202349461,NVDA
2025-04-11 21:30:00,110.93000030517578,313417300,0.031235480337304722,0.07655627406921633,NVDA
2025-04-14 21:30:00,110.70999908447266,264705000,-0.0019832436680599086,0.07640010320152739,NVDA
2025-04-15 21:30:00,112.19999694824219,228966900,0.013458566309197062,0.07635650956464868,NVDA
2025-04-16 21:30:00,104.48999786376953,397016900,-0.06871657124936714,0.07978951633648974,NVDA
2025-04-17 21:30:00,101.48999786376953,292517500,-0.02871088201103511,0.07605539505162155,NVDA
2025-04-21 21:30:00,96.91000366210938,288501100,-0.0451275425959502,0.07339412010926098,NVDA
2025-04-22 21:30:00,98.88999938964844,241004800,0.020431283177354986,0.07285994730746267,NVDA
2025-04-23 21:30:00,102.70999908447266,247526000,0.0386287766043214,0.0733642506568235,NVDA
2025-04-24 21:30:00,106.43000030517578,220815000,0.036218491421109444,0.04089992582541142,NVDA
2025-04-25 21:30:00,111.01000213623047,251064700,0.0430329965040126,0.038971160832538675,NVDA
2025-04-28 21:30:00,108.7300033569336,207708500,-0.02053867881651672,0.03836261362890409,NVDA
2025-04-29 21:30:00,109.0199966430664,170444300,0.0026670953479219772,0.038382005226817346,NVDA
2025-04-30 21:30:00,108.91999816894531,235044600,-0.0009172489194665401,0.03805370198088819,NVDA
2025-05-01 21:30:00,111.61000061035156,236121500,0.02469704816955476,0.030692797639540505,NVDA
2025-05-02 21:30:00,114.5,190194800,0.02589373151011709,0.02839758496112744,NVDA
2025-05-05 21:30:00,113.81999969482422,133163200,-0.005938867294111638,0.02140456472660378,NVDA
2025-05-06 21:30:00,113.54000091552734,158525600,-0.00246001388198569,0.02213906989568913,NVDA
2025-05-07 21:30:00,117.05999755859375,206758800,0.031002260125796877,0.021317408243754637,NVDA
2025-05-08 21:30:00,117.37000274658203,198428100,0.002648258965092687,0.01991594340741929,NVDA
2025-05-09 21:30:00,116.6500015258789,132972200,-0.00613445687871117,0.01666017410284022,NVDA
2025-05-12 21:30:00,123.0,225023300,0.05443633425681815,0.020313848721936683,NVDA
2025-05-13 21:30:00,129.92999267578125,330430100,0.05634140386814024,0.024132880070595813,NVDA
2025-05-14 21:30:00,135.33999633789062,281180800,0.041637835504302334,0.02418683635124862,NVDA
2025-05-15 21:30:00,134.8300018310547,226632600,-0.0037682467905694184,0.02550123755722585,NVDA
2025-05-16 21:30:00,135.39999389648438,226542500,0.004227486892300902,0.025803598173353353,NVDA
2025-05-19 21:30:00,135.57000732421875,193154600,0.001255638370739831,0.02517953760033387,NVDA
2025-05-20 21:30:00,134.3800048828125,161514200,-0.008777770724466616,0.025818812170749786,NVDA
2025-05-21 21:30:00,131.8000030517578,270608700,-0.01919929853630087,0.027669897228604592,NVDA
2025-05-22 21:30:00,132.8300018310547,187344000,0.007814861573959053,0.027518163298411613,NVDA
2025-05-23 21:30:00,131.2899932861328,198821300,-0.011593830638356839,0.027985367522661786,NVDA
2025-05-27 21:30:00,135.5,192953600,0.032066470631100685,0.02496893607720902,NVDA
2025-05-28 21:30:00,134.80999755859375,304021100,-0.005092268940267486,0.019188906169299674,NVDA
2025-05-29 21:30:00,139.19000244140625,369241900,0.0324902081606282,0.017314187677717002,NVDA
2025-05-30 21:30:00,135.1300048828125,333170900,-0.0291687440719951,0.020054371403269017,NVDA
2025-06-02 21:30:00,137.3800048828125,197663100,0.01665063212238649,0.020692305907928216,NVDA
2025-06-03 21:30:00,141.22000122070312,225578800,0.027951639259047978,0.02229645122746827,NVDA
2025-06-04 21:30:00,141.9199981689453,167120800,0.004956783332328518,0.021818278097640587,NVDA
2025-06-05 21:30:00,139.99000549316406,231397900,-0.01359915939037526,0.021170787100893766,NVDA
2025-06-06 21:30:00,141.72000122070312,153986200,0.012357994568573227,0.021256727320759748,NVDA
2025-06-09 21:30:00,142.6300048828125,185114500,0.006421137837080648,0.020274572619406638,NVDA
2025-06-10 21:30:00,143.9600067138672,155881900,0.009324838992661011,0.018539046157573968,NVDA
