symbol,date,sentiment
AAL,2025-02-27,-0.33825
AAL,2025-05-29,0.5574
AAL,2025-05-30,0.4404
AAL,2025-11-24,-0.3818
AAPL,2025-01-02,0.0
AAPL,2025-01-27,-0.5091
AAPL,2025-01-30,-0.296
AAPL,2025-02-14,0.7792
AAPL,2025-02-21,0.0
AAPL,2025-02-25,0.10576872727272728
AAPL,2025-02-26,0.019093013100436682
AAPL,2025-02-27,0.029273295454545455
AAPL,2025-02-28,-0.01262857142857143
AAPL,2025-04-16,0.6808
AAPL,2025-05-22,0.0
AAPL,2025-05-23,-0.8521
AAPL,2025-05-25,0.9442
AAPL,2025-05-27,0.18242121212121212
AAPL,2025-05-28,0.038581875
AAPL,2025-05-29,0.013331666666666667
AAPL,2025-05-30,6.5979381443298e-05
AAPL,2025-05-31,0.299875
AAPL,2025-06-22,-0.29295
AAPL,2025-07-01,0.25
AAPL,2025-07-29,0.2787
AAPL,2025-08-01,0.128
AAPL,2025-08-22,0.09543150684931506
AAPL,2025-08-23,0.0034052631578947454
AAPL,2025-08-24,-0.0036500000000000005
AAPL,2025-08-25,0.009309090909090911
AAPL,2025-08-26,0.11878473282442749
AAPL,2025-08-27,0.08565757575757577
AAPL,2025-08-28,0.051561157024793386
AAPL,2025-08-29,0.09135906432748538
AAPL,2025-08-30,0.09225
AAPL,2025-08-31,0.04869999999999999
AAPL,2025-11-06,0.2235
AAPL,2025-11-07,0.1027
AAPL,2025-11-18,0.7814
AAPL,2025-11-19,-0.1027
AAPL,2025-11-20,0.03987027027027027
AAPL,2025-11-21,-0.035317241379310346
AAPL,2025-11-22,0.25930000000000003
AAPL,2025-11-23,0.23405
AAPL,2025-11-24,-0.011143589743589744
AAPL,2025-11-25,0.06041418439716312
AAPL,2025-11-26,0.08723620689655173
AAPL,2025-11-27,0.036884999999999994
AAPL,2025-11-28,0.10381898734177215
AAPL,2025-11-29,0.15118947368421054
AAPL,2025-11-30,-0.034831249999999994
AAPL,2025-12-01,-0.02821666666666668
AAPL,2025-12-02,0.03923
AAPL,2025-12-03,0.6298
AAPL,2025-12-04,0.043475
AAPL,2025-12-05,-0.2846
AAPL,2025-12-08,0.42865
AAPL,2025-12-10,0.01466666666666668
AAPL,2025-12-11,0.7096
AAPL,2025-12-12,0.34
AAPL,2025-12-13,0.7003
AAPL,2025-12-15,0.3548
AAPL,2025-12-16,0.3896
AAPL,2025-12-17,-0.42405
AAPL,2025-12-19,-0.014313274336283183
AAPL,2025-12-20,0.2571727272727273
AAPL,2025-12-21,0.1932722222222222
AAPL,2025-12-22,-0.04339562499999999
AAPL,2025-12-23,-0.0032162790697674404
AAPL,2025-12-24,0.18044912280701755
AAPL,2025-12-25,0.16695714285714286
AAPL,2025-12-26,0.08391111111111112
AAPL,2025-12-27,0.26539
AAPL,2025-12-28,0.39371
AAPL,2025-12-29,0.047
AAPL,2025-12-30,0.09964107142857144
AAPL,2025-12-31,0.11966046511627908
AAPU,2025-05-28,0.0
AAPU,2025-08-22,-0.4939
ABBV,2025-10-23,0.0
ABNB,2025-02-15,0.3612
ABT,2025-08-20,0.0
ABVE,2025-11-30,0.6249
ADBE,2025-12-05,0.34
ADM,2025-07-17,0.0
AEO,2025-08-22,0.765
AI,2025-02-25,0.0
AI,2025-05-24,0.0
AI,2025-05-31,0.0
AI,2025-08-27,0.0
AIRJ,2025-12-22,0.1139
AIRS,2025-12-16,0.4215
AIXI,2025-08-28,0.7184
ALAB,2025-02-11,0.9578
AMAT,2025-05-23,0.1779
AMAT,2025-09-26,0.0
AMCX,2025-12-29,0.0
AMD,2025-02-16,-0.5994
AMD,2025-02-17,0.0
AMD,2025-02-27,0.000419387755102041
AMD,2025-02-28,0.05160595813204509
